child_id,age_months,sex,weight_kg,energy_req,protein_req,fat_req,carb_req
C001,12,M,7.8,820,13.0,35,110
C002,13,F,7.5,800,12.5,34,108
C003,15,M,8.2,850,13.5,36,115
C004,16,F,8.0,840,13.2,35,112
C005,18,M,8.5,900,14.0,38,120
C006,20,F,8.3,880,13.8,37,118
C007,22,M,9.0,950,14.5,40,125
C008,24,F,8.8,930,14.2,39,122
C009,26,M,9.2,980,15.0,42,130
C010,28,F,9.0,960,14.8,41,128
C011,30,M,9.8,1020,16.0,45,138
C012,32,F,9.5,1000,15.5,44,135
C013,34,M,10.0,1050,16.2,46,142
C014,36,F,9.7,1025,15.8,45,138
C015,38,M,10.2,1080,16.5,48,145
C016,40,F,10.0,1060,16.0,47,142
C017,42,M,10.5,1120,17.0,50,150
C018,44,F,10.2,1100,16.5,48,148
C019,46,M,11.0,1180,18.0,52,158
C020,48,F,10.8,1150,17.2,50,155
C021,50,M,11.2,1200,18.5,54,162
C022,52,F,10.9,1185,17.8,52,158
C023,54,M,11.5,1250,19.0,56,168
C024,55,F,11.0,1200,18.0,54,160
C025,56,M,11.8,1280,19.5,58,172
C026,57,F,11.2,1230,18.5,55,165
C027,58,M,12.0,1300,20.0,60,175
C028,59,F,11.5,1250,18.8,56,168
C029,59,M,12.1,1320,20.2,61,178
C030,59,F,11.6,1260,19.0,57,170
